lat,lon,n_total,n_estres,ad_gamma,gamma_ok,ad_lognorm,lognorm_ok,ad_weibull,weibull_ok,_cw,_lw,_sw,mejor_ad
4.65,-76.0503,366,366,1.2784725358615106,False,2.5601817149761814,False,1.072680162937445,False,5.124312646101669,0,0.9290279240063963,weibull
4.65,-75.9503,366,366,0.43832829195508793,True,0.8350051767254172,False,1.5010312713003486,False,7.658765387676424,0,1.3828440658674688,gamma
4.75,-75.9503,366,366,1.1953045719348552,False,2.075864099350156,False,1.223360681463987,False,7.000992231188457,0,1.2309564946439837,gamma
4.75,-75.8503,366,366,1.7789752244329406,False,3.2928316734446526,False,0.6297363759029508,True,5.247350605296838,0,0.8882905467517244,weibull
4.85,-75.9503,366,366,5.583201951395949,False,9.6168755841137,False,0.795515540748795,False,5.092808968457163,0,0.9453987045821268,weibull
4.85,-75.8503,366,366,2.0477508521118466,False,3.77576700098615,False,1.3328694289700138,False,5.280239986051582,0,0.8973029801083038,weibull
4.85,-74.9503,366,265,4.691295252950681,False,12.906298304921336,False,2.3578934909055533,False,1.5393487688082295,0,0.23823353374013007,weibull
4.95,-75.9503,366,349,6.241533025834087,False,14.498935343236667,False,2.032277727872156,False,2.1024576972651157,0,0.36421154845535997,weibull
4.95,-75.8503,366,364,5.121199788209083,False,12.49666840259954,False,1.0314561104989366,False,3.7495350467237967,0,0.637188614678976,weibull
4.95,-75.7503,366,11,0.39710951114734705,True,0.8222683055346369,False,0.3526840497591053,True,1.212193861600583,0,0.10529812146405053,weibull
4.95,-74.9503,366,184,1.2401757568160292,False,5.337377217860393,False,0.6357610245526928,True,1.338001141326239,0,0.15577820505987933,weibull
5.05,-75.8503,366,335,2.3980561845489206,False,7.832209410855171,False,0.6058362703171838,True,1.8378076792628215,0,0.2679586083917924,weibull
5.05,-75.7503,366,42,0.8434349496906108,False,2.3526593580703192,False,0.830163448266795,False,0.9553387006268705,0,0.09769993316600967,weibull
5.05,-74.9503,366,221,1.2195672778870517,False,5.8646133167443395,False,0.48932777375100045,True,1.4172501728127085,0,0.1711875646843681,weibull
5.15,-75.8503,366,215,0.6704905036767741,True,4.493453090041868,False,0.4594352699469937,True,1.2902739903667362,0,0.14228828097181387,weibull
5.15,-75.6503,366,44,0.947576447407549,False,0.6598854934820153,True,0.979416365814636,False,1.3673648970752668,0,0.10452210378367353,lognorm
5.15,-75.5503,366,40,0.3756113948702122,True,1.105516360782545,False,0.3259325238038997,True,1.2549898164048572,0,0.11215835614203126,weibull
5.15,-75.0503,366,45,0.31426588405359723,True,1.3048502665943218,False,0.44837469964890175,True,0.7054315289303672,0,0.07683617283057226,gamma
5.15,-74.9503,366,266,1.3936961194254422,False,5.966989962272805,False,0.49443994512188283,True,1.5397507567106294,0,0.21877884317997068,weibull
5.25,-75.8503,366,265,1.222654605150467,False,6.072139701145375,False,0.7145015014287424,True,1.2846323149349272,0,0.15636033094413118,weibull
5.25,-75.6503,366,96,0.4595358223200492,True,2.785049745930678,False,0.4287836374980287,True,0.9968499822377104,0,0.11044949788277243,weibull
5.25,-75.0503,366,10,0.4417381616841176,True,0.4878138538828374,True,0.4527554721130187,True,1.4091120206520618,0,0.1221419936449244,gamma
5.25,-74.9503,366,261,1.4880225595250636,False,6.544433358804213,False,0.8128569042161757,False,1.319879399885547,0,0.1869834333967476,weibull
5.35,-75.5503,366,227,0.48028703015256724,True,4.3741135317525845,False,0.28466070257940146,True,1.239459575099016,0,0.16476652986968726,weibull
5.35,-74.9503,366,296,0.944132873123408,False,4.673946351084737,False,0.3145898733114336,True,1.590415363809199,0,0.23832257363187365,weibull
5.45,-75.5503,366,121,0.177303966943839,True,1.093670389075612,False,0.2051864871449709,True,1.1419244368205863,0,0.12903584080540748,gamma
5.45,-75.0503,366,202,1.3167426476282742,False,5.629531916552196,False,0.7224492058272745,True,1.3226182409517975,0,0.21183920076777357,weibull
5.45,-74.9503,366,357,4.5648751649596875,False,12.368151805313914,False,1.3843105327153467,False,2.19867180575272,0,0.4174159429260331,weibull
5.55,-75.5503,366,57,0.5172535951615558,True,1.263881066734875,False,0.5274393631213954,True,1.115280000833491,0,0.12996458495591026,gamma
5.55,-75.1503,366,252,1.160403012965304,False,5.817127008178375,False,0.5949283646193066,True,1.3478467829222636,0,0.24194117955009797,weibull
5.55,-74.9503,366,366,2.027860955385961,False,4.973357835795014,False,1.7096573762656817,False,3.2150911761842256,0,0.6219838375160361,weibull
5.65,-75.5503,366,366,1.3926298938899322,False,5.122336167006665,False,0.22694902468867895,True,2.267659927326067,0,0.4650636538919928,weibull
5.65,-75.4503,366,366,0.6952833326113819,True,3.50181975018063,False,0.7535034343765687,False,2.3296084953939036,0,0.44451940916717203,gamma
5.65,-75.1503,366,45,0.2751256263973403,True,0.2011416251837872,True,0.36012741765106426,True,1.2934042073071186,0,0.12455449016045685,lognorm
5.65,-75.0503,366,298,2.309210110985248,False,8.57471543003254,False,1.0555723806439232,False,1.4619894993846634,0,0.27228305330903324,weibull
5.65,-74.9503,366,366,1.5462149850288824,False,3.63729797735391,False,1.6691990053163863,False,3.447344455793329,0,0.6575710332817284,gamma
